car - ABCD123 - 90
truck - EFGH456 - 95
bus - IJKL789 - 88
car - MNOP234 - 92
truck - QRST567 - 85
bus - UVWX890 - 100
car - YZAB123 - 87
truck - CDEF456 - 93
bus - GHIJ789 - 96
car - KLMN234 - 91
truck - OPQR567 - 89
bus - STUV890 - 94
car - WXYZ123 - 86
truck - ABCD456 - 97
bus - EFGH789 - 98
car - IJKL234 - 83
truck - MNOP567 - 99
bus - QRST890 - 84
car - UVWX123 - 95
truck - YZAB456 - 82
bus - CDEF789 - 97
car - GHIJ234 - 88
truck - KLMN567 - 96
bus - OPQR890 - 85
car - STUV123 - 89
truck - WXYZ456 - 94
bus - ABCD789 - 91
car - EFGH234 - 90
truck - IJKL567 - 85
bus - MNOP890 - 93
car - QRST123 - 87
truck - UVWX456 - 91
bus - YZAB789 - 98
car - CDEF234 - 92
truck - GHIJ567 - 96
bus - KLMN890 - 85
car - OPQR123 - 88
truck - STUV456 - 93
bus - WXYZ789 - 99
car - ABCD234 - 89
truck - EFGH567 - 97
bus - IJKL890 - 84
car - MNOP123 - 86
truck - QRST456 - 95
bus - UVWX789 - 100
car - YZAB234 - 90
truck - CDEF567 - 92
bus - GHIJ890 - 88
car - KLMN123 - 87
truck - OPQR456 - 93
bus - STUV789 - 96
car - WXYZ234 - 84
truck - ABCD567 - 98
bus - EFGH890 - 85
car - IJKL123 - 89
truck - MNOP456 - 96
bus - QRST789 - 91
car - UVWX234 - 90
truck - YZAB567 - 97
bus - CDEF890 - 86
car - GHIJ123 - 88
truck - KLMN456 - 95
bus - OPQR789 - 92
car - STUV234 - 86
truck - WXYZ567 - 93
bus - ABCD890 - 89
car - EFGH123 - 85
truck - IJKL456 - 94
bus - MNOP789 - 90
car - QRST234 - 87
truck - UVWX567 - 91
bus - YZAB890 - 95
car - CDEF123 - 88
truck - GHIJ456 - 96
bus - KLMN789 - 84
car - OPQR234 - 89
truck - STUV567 - 97
bus - WXYZ890 - 88
car - ABCD345 - 86
truck - EFGH678 - 92
bus - IJKL901 - 97
car - MNOP456 - 88
truck - QRST789 - 93
bus - UVWX234 - 91
car - YZAB567 - 85
truck - CDEF890 - 94
bus - GHIJ123 - 90
car - KLMN678 - 86
truck - OPQR901 - 95
bus - STUV234 - 88
car - WXYZ567 - 87
truck - ABCD890 - 96
bus - EFGH123 - 89
